43. Passamezzo,[Actually a galliard or saltarello],Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.165,Sarge Gerbode,Sarge Gerbode,,,,,,,"galliard, saltarello",Cm,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/165.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/043_passamezzo_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/043_passamezzo_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/043_passamezzo_anon.mid,1573937588,1588630217
45. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.168,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Cm,4,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/168.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/045_passamezzo_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/045_passamezzo_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/045_passamezzo_anon.mid,1573937588,1588630217
46. Passamezzo,,F.D.D.,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.169,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Cm,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/169.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/046_passamezzo+saltarello_fdd.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/046_passamezzo+saltarello_fdd.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/046_passamezzo+saltarello_fdd.mid,1573937588,1657052777
47. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.170,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Cm,4,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/170.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/047_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/047_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/047_passamezzo+saltarello_anon.mid,1573937588,1588630217
50. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.173c,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Cm,4,7-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/173.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/050_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/050_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/050_passamezzo+saltarello_anon.mid,1573937588,1588630217
51. Pazzamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.175,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, galliard",Cm,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/175.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/051_passamezzo+galliard_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/051_passamezzo+galliard_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/051_passamezzo+galliard_anon.mid,1573937588,1588630217
54. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.185,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",CM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/185.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/054_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/054_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/054_passamezzo+saltarello_anon.mid,1573937588,1588630217
55. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.186,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",CM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/186.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/055_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/055_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/055_passamezzo+saltarello_anon.mid,1573937588,1588630217
56. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.187,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",CM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/187.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/056_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/056_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/056_passamezzo+saltarello_anon.mid,1573937588,1588630217
57. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.188a,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",CM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/188.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/057_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/057_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/057_passamezzo+saltarello_anon.mid,1573937588,1588630217
65. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.192,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, galliard",CM,3,7-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/192.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/065_passamezzo+galliard_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/065_passamezzo+galliard_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/065_passamezzo+galliard_anon.mid,1573937588,1588630217
66. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.195,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Cm,4,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/195.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/066_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/066_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/066_passamezzo+saltarello_anon.mid,1573937588,1588630217
68. Passamezzo,,E.P.R.,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.198,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Fm,4,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/198.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/068_passamezzo+saltarello_epr.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/068_passamezzo+saltarello_epr.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/068_passamezzo+saltarello_epr.mid,1573937588,1588630217
70. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.200a,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Fm,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/200.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/070_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/070_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/070_passamezzo+saltarello_anon.mid,1573937588,1588630217
71. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.200b,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo antico, saltarello",Fm,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/200.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/071_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/071_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/071_passamezzo+saltarello_anon.mid,1573937588,1588630217
73. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.201b,Sarge Gerbode,Sarge Gerbode,,,,,,,passamezzo antico,Fm,4,6-course,,"This is a somewhat aberrant version of a passamezzo antico. Starts in AbM and|proceeds to Fm. Nice, though.",,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/201.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/073_passamezzo_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/073_passamezzo_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/073_passamezzo_anon.mid,1573937588,1588630217
76. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.208a,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",FM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/208.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/076_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/076_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/076_passamezzo+saltarello_anon.mid,1573937588,1588630218
77. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.208b,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",FM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/208.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/077_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/077_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/077_passamezzo+saltarello_anon.mid,1573937588,1588630218
84. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.215,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",FM,3,7-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/215.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/084_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/084_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/084_passamezzo+saltarello_anon.mid,1573937588,1588630218
85. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.216,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",FM,3,7-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/216.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/085_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/085_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/085_passamezzo+saltarello_anon.mid,1573937588,1588630218
87. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.218a,Sarge Gerbode,Sarge Gerbode,,,,,,,passamezzo moderno,FM,3,6-course,,"Aberrant version of a passamezzo. Still 16 bars, though.",,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/218.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/087_passamezzo_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/087_passamezzo_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/087_passamezzo_anon.mid,1573937588,1588630218
90. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.220a,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, saltarello",FM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/220.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/090_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/090_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/090_passamezzo+saltarello_anon.mid,1573937588,1588630218
92. Passamezzo,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.221,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo moderno, galliard",FM,3,7-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/221.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/092_passamezzo+galliard_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/092_passamezzo+galliard_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/092_passamezzo+galliard_anon.mid,1573937588,1656885793
105. Passamezzo,[Looks more like an allemande],Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.234a,Sarge Gerbode,Sarge Gerbode,,,,,,,"allemande?, salterello",BbM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/234.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/105_passamezzo+saltarello_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/pdf/105_passamezzo+saltarello_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v5_passamezzos/midi/105_passamezzo+saltarello_anon.mid,1573937588,1588630218
1. Muss dann mein Trew,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.236a,Sarge Gerbode,Sarge Gerbode,,,,,,,"dance, nachdanz",FM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/236.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/001_muss_dann_mein_trew+nachdantz_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/001_muss_dann_mein_trew+nachdantz_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/001_muss_dann_mein_trew+nachdantz_anon.mid,1573937589,1588630218
3. Ein Polischer Tantz,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.237a,Sarge Gerbode,Sarge Gerbode,,,,,,,"polish dance, sprung",Dm,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/237.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/003_ein_polischer_tantz+sprung_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/003_ein_polischer_tantz+sprung_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/003_ein_polischer_tantz+sprung_anon.mid,1573937589,1588630218
4.Tantz,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.237b,Sarge Gerbode,Sarge Gerbode,,,,,,,"dance, nachdanz",FM,3,7-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/237.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/004_tantz+nachdantz_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/004_tantz+nachdantz_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/004_tantz+nachdantz_anon.mid,1573937589,1588630218
"6. Ach hertziges Hertz, mit Schmertz",,C.S.,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.238b,Sarge Gerbode,Sarge Gerbode,,,,,,,villanella?,CM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/238.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/006_ach_hertziges_hertz_mit_schmertz_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/006_ach_hertziges_hertz_mit_schmertz_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/006_ach_hertziges_hertz_mit_schmertz_anon.mid,1573937589,1588630218
"7. Jungfrau, e�were scharpfe Augenn|die haben gwaltig Lieb",,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.238c,Sarge Gerbode,Sarge Gerbode,,,,,,,villanella?,Am,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/238.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/007_jungfrau_euwere_scharpfe_augenn_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/007_jungfrau_euwere_scharpfe_augenn_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/007_jungfrau_euwere_scharpfe_augenn_anon.mid,1573937589,1588630218
10.Tantz,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.239c,Sarge Gerbode,Sarge Gerbode,,,,,,,"dance, nachtanz",BbM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/239.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/010_tantz+nachdantz_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/010_tantz+nachdantz_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/010_tantz+nachdantz_anon.mid,1573937589,1588630218
12. Bu� bei� mich nicht,,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.241a,Sarge Gerbode,Sarge Gerbode,,,,,,,"dance, nachtanz",FM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/241.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/012_buss_beiss_mich_nicht+nachdantz_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/012_buss_beiss_mich_nicht+nachdantz_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/012_buss_beiss_mich_nicht+nachdantz_anon.mid,1573937589,1588630218
14. Salve puella,In F,Anonymous,,CH-Bu:Basel University Library,ms F.IX.70:Wurstisen lute book,,1591,p.241c,Sarge Gerbode,Sarge Gerbode,,,,,,,"dance, nachtanz",FM,3,6-course,,,,https://lutemusic.org/facsimiles/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book_1591/241.png,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/014_salve_puella_F_anon.ft3,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/pdf/014_salve_puella_F_anon.pdf,https://lutemusic.org/sources/CH-Bu_Basel_University_Library/ms_F.IX.70_Wurstisen_lute_book/v6_dances/midi/014_salve_puella_F_anon.mid,1573937589,1588630218
