Suite in F major,8. Gigue?,Ernst Gottlieb Baron,,Ernst Gottlieb Baron,Der getreue Music-Meister,,1728,p.50,Sarge Gerbode,Sarge Gerbode,,,,,Suite in F major,8. Gigue?,"suite, gigue",FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Baron/suite_FM/08_gigue.ft3,https://lutemusic.org/composers/Baron/suite_FM/pdf/08_gigue.pdf,https://lutemusic.org/composers/Baron/suite_FM/midi/08_gigue.mid,1573937408,1658865900
The Hunter's Career,,William Basse,,GB-Lspencer:Private Library of Robert Spencer,Margaret Board lute book,,1625,f.27va,Sarge Gerbode,Sarge Gerbode,,,,,The Hunters Carreere,,vocal intabulation,FM,2,"soprano, 7-course",,,,https://lutemusic.org/facsimiles/GB-Lspencer_Private_Library_of_Robert_Spencer/Margaret_Board_lute_book_1625/27v.png,https://lutemusic.org/composers/Basse/27v_basse_the_hunters_carreere.ft3,https://lutemusic.org/composers/Basse/pdf/27v_basse_the_hunters_carreere.pdf,https://lutemusic.org/composers/Basse/midi/27v_basse_the_hunters_carreere.mid,1573937408,1658865900
Memento Salutis Auctor,Arranged and superius part addedby Andr� Nieuwlaat,William Byrd,,GB-Lbl:British LIbrary,Add.Ms.29246,,1611,f.26,Sarge Gerbode,Andr� Nieuwlaat,,,,,,,"hymn, vocal intabulation",Dm,3,6-course,,,,https://lutemusic.org/facsimiles/GB-Lbl_British_LIbrary/Add.Ms.29246_1611/26.png,https://lutemusic.org/composers/Byrd/memento_salutis_byrdW.ft3,https://lutemusic.org/composers/Byrd/pdf/memento_salutis_byrdW.pdf,https://lutemusic.org/composers/Byrd/midi/memento_salutis_byrdW.mid,1633555828,1642026582
O glorioso domina,Arranged and superius part addedby Andr� Nieuwlaat,William Byrd,,GB-Lbl:British LIbrary,Add.Ms.29246,,1611,f.25v,Sarge Gerbode,Andr� Nieuwlaat,,,,,,,"motet, vocal intabulation, religious",CM,3,6-course,,,,https://lutemusic.org/facsimiles/GB-Lbl_British_LIbrary/Add.Ms.29246_1611/25v.png,https://lutemusic.org/composers/Byrd/O_glorioso_domina_byrdW.ft3,https://lutemusic.org/composers/Byrd/pdf/O_glorioso_domina_byrdW.pdf,https://lutemusic.org/composers/Byrd/midi/O_glorioso_domina_byrdW.mid,1633555828,1642026582
Galliard 10,,Francis Cutting,,GB-Ge:Glasgow University Library,ms r.d.43:Euing lute book,,c.1610,f.29,Sarge Gerbode,Sarge Gerbode,,,,"IRL-Dm  ms z.3.2.13, p. 386a",,,galliard,Gm,3,6-course,,,,https://lutemusic.org/facsimiles/GB-Ge_Glasgow_University_Library/ms_r.d.43_Euing_lute_book_c.1610/29.png,https://lutemusic.org/composers/Cutting/10_galliard.ft3,https://lutemusic.org/composers/Cutting/pdf/10_galliard.pdf,https://lutemusic.org/composers/Cutting/midi/10_galliard.mid,1573937412,1588630198
Walsingham variations,,Francis Cutting,,GB-Cu:Cambridge University Library,Dd.2.11b,,1600,f.96,Sarge Gerbode,Sarge Gerbode,,,,,Walsingham Variations,,"vocal intabulation, variations",AbM,5,7-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/Dd.2.11b_1600/096.png,https://lutemusic.org/composers/Cutting/walsingham.ft3,https://lutemusic.org/composers/Cutting/pdf/walsingham.pdf,https://lutemusic.org/composers/Cutting/midi/walsingham.mid,1573937413,1658865901
Lute sonata in D-minor,3. Andante,Johann Friedrich Daube,,D-ROu:Rostock University Library,"ms mus. saec XVIII.13.2, 2c",,c.1760,p.1,Sarge Gerbode,Peter Steur,,,,,Lute sonata in D-minor,3. Andante,suite,Dm,3,13-course baroque,,,,,https://lutemusic.org/composers/Daube/sonata_Dm/03_andante.ft3,https://lutemusic.org/composers/Daube/sonata_Dm/pdf/03_andante.pdf,https://lutemusic.org/composers/Daube/sonata_Dm/midi/03_andante.mid,1573937413,1658865901
Lute sonata in F major,1. Allegro,Johann Friedrich Daube,,D-ROu:Rostock University Library,"mus ms saec XVIII.13, 2b",,c.1760,p.1,Sarge Gerbode,Peter Steur,,,,,,1. Allegro,sonata,FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Daube/sonata_FM/01_allegro.ft3,https://lutemusic.org/composers/Daube/sonata_FM/pdf/01_allegro.pdf,https://lutemusic.org/composers/Daube/sonata_FM/midi/01_allegro.mid,1573937413,1658865901
"4. Fortune, farewell",An in nomine,John Dowland,,GB-Cu:Cambridge University Library,Dd.9.33c,,1600,f.41v,Sarge Gerbode,Gian Luca Lastraioli,Sarge Gerbode,,,,4. Farewell,,fantasy,Gm,4,7-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/Dd.9.33c_1600/41v.png,https://lutemusic.org/composers/Dowland/04_farewell_an_in_nomine.ft3,https://lutemusic.org/composers/Dowland/pdf/04_farewell_an_in_nomine.pdf,https://lutemusic.org/composers/Dowland/midi/04_farewell_an_in_nomine.mid,1573937414,1658865901
8. Captain Digorie Piper's pavane,,John Dowland,,GB-Lbl:British Library,ms Eg. 2046:Pickering lute book,,1616,f.19v,Sarge Gerbode,Sarge Gerbode,,,,"A-LIa:Ober�sterreichisches Landesarchiv  HS. 475:Eysert Lute Book (c1600), f. 22",,,pavane,Gm,5,6-course,,,,https://lutemusic.org/facsimiles/GB-Lbl_British_Library/ms_Eg._2046_Pickering_lute_book_1616/19v.png,https://lutemusic.org/composers/Dowland/08_dowland_pipers_pavan.ft3,https://lutemusic.org/composers/Dowland/pdf/08_dowland_pipers_pavan.pdf,https://lutemusic.org/composers/Dowland/midi/08_dowland_pipers_pavan.mid,1573937414,1658865901
